fecha;provincia;Personas en centros residenciales;Mortalidad en residencias;Fallecidos con COVID19 confirmado;Fallecidos con síntomas compatibles;Confirmados con COVID19;Aislados con síntomas compatibles con COVID19;En aislamiento preventivo sin síntomas;codigo_ine
2020-04-10;Palencia;4234;97;17;29;64;135;667;34120
2020-04-10;Valladolid;7244;296;90;113;433;203;604;47186
2020-04-11;Burgos;6694;213;56;93;118;447;706;9059
2020-04-11;León;7340;344;91;160;379;221;463;24089
2020-04-13;Ávila;3865;163;67;74;276;181;378;5019
2020-04-13;Burgos;6674;218;69;94;271;380;713;9059
2020-04-13;Segovia;2485;323;135;193;295;296;651;40004
2020-04-14;Ávila;3865;173;71;79;285;172;360;5019
2020-04-16;Valladolid;7149;405;161;130;1050;137;569;47186
2020-04-17;Zamora;4449;111;30;55;171;77;463;49275
2020-04-18;Palencia;4221;122;34;34;240;79;628;34120
2020-04-18;Salamanca;6497;402;157;193;547;357;1105;37274
2020-04-18;Segovia;2434;422;151;198;368;186;626;40004
2020-04-19;León;7200;504;132;180;633;158;365;24089
2020-04-20;Burgos;6598;316;99;98;611;169;843;9059
2020-04-20;Segovia;2434;437;156;200;382;179;617;40004
2020-04-21;Valladolid;7076;477;200;125;1071;166;483;47186
2020-04-21;Zamora;4419;165;40;56;171;77;568;49275
2020-04-23;Ávila;3599;282;94;76;453;105;343;5019
2020-04-24;Burgos;6551;372;121;101;746;112;787;9059
2020-04-24;León;7081;553;155;178;740;85;591;24089
2020-04-25;Soria;2199;247;92;87;571;59;612;42173
2020-04-26;Burgos;6511;393;126;102;744;92;755;9059
2020-04-27;Ávila;3479;299;99;80;481;94;292;5019
2020-04-28;Zamora;4383;200;49;60;166;61;479;49275
2020-04-30;Soria;2191;269;99;87;574;45;599;42173
2020-05-02;Burgos;6482;434;149;101;801;56;781;9059
2020-05-02;Valladolid;6933;613;256;120;1083;138;606;47186
2020-05-04;Palencia;4171;186;47;36;268;42;434;34120
2020-05-04;Salamanca;6311;654;229;205;821;166;853;37274
2020-05-05;Zamora;4349;223;54;63;178;57;485;49275
2020-05-06;Palencia;4174;192;50;36;288;27;339;34120
2020-05-07;Ávila;3385;328;111;83;484;62;284;5019
2020-05-08;Soria;2170;285;107;91;665;30;330;42173
2020-05-09;Salamanca;6308;684;245;207;986;94;792;37274
2020-05-10;Valladolid;6885;674;269;123;1057;119;559;47186
2020-05-12;Burgos;6432;502;166;106;828;41;450;9059
2020-05-13;Burgos;6446;507;168;106;824;42;446;9059
2020-05-13;Soria;2166;296;108;91;670;22;255;42173
2020-05-15;Burgos;6387;512;168;107;829;41;470;9059
2020-05-15;Zamora;4314;252;57;63;268;27;160;49275
2020-05-16;León;6956;756;211;186;903;29;442;24089
2020-05-16;Soria;2165;303;108;91;687;10;261;42173
2020-05-17;Soria;2165;303;108;91;687;8;261;42173
2020-05-19;Valladolid;6819;714;279;124;1048;103;501;47186
2020-05-22;Segovia;2370;528;187;196;859;5;236;40004
2020-05-25;Ávila;3446;371;119;85;549;22;247;5019
2020-05-27;León;6936;827;215;188;956;16;114;24089
2020-05-27;Soria;2164;307;108;92;705;1;149;42173
2020-05-28;Burgos;6361;544;171;109;982;20;174;9059
2020-05-28;Valladolid;6796;757;291;125;1114;15;197;47186
2020-05-28;Zamora;4197;278;59;63;319;4;63;49275
2020-06-01;Valladolid;6761;765;291;125;1139;14;269;47186
2020-06-04;Burgos;6336;551;171;109;992;2;88;9059
2020-04-23;Zamora;4404;185;43;58;171;79;561;49275
2020-04-25;Salamanca;6375;550;197;204;676;251;942;37274
2020-04-26;Ávila;3480;296;97;80;466;100;301;5019
2020-04-26;Salamanca;6377;567;201;204;706;237;937;37274
2020-04-28;León;7027;601;175;181;805;66;702;24089
2020-04-28;Palencia;4184;173;45;36;263;66;457;34120
2020-04-29;Salamanca;6354;595;213;204;724;189;866;37274
2020-05-01;Valladolid;6943;609;253;119;1078;138;618;47186
2020-05-02;Ávila;3468;318;109;82;485;79;313;5019
2020-05-03;Palencia;4177;185;47;36;260;43;433;34120
2020-05-05;León;6974;679;195;185;872;39;660;24089
2020-05-05;Salamanca;6310;661;232;205;866;150;814;37274
2020-05-06;Burgos;6447;476;159;103;824;53;492;9059
2020-05-06;Segovia;2368;501;175;204;705;31;416;40004
2020-05-06;Soria;2172;279;106;89;575;59;401;42173
2020-05-06;Zamora;4342;225;54;63;179;56;309;49275
2020-05-07;Segovia;2372;501;175;204;767;27;337;40004
2020-05-07;Soria;2171;284;106;89;669;31;348;42173
2020-05-09;Palencia;4163;200;50;36;269;24;306;34120
2020-05-10;Segovia;2370;515;176;204;779;29;333;40004
2020-05-11;Segovia;2364;515;182;198;777;30;333;40004
2020-05-12;León;6947;735;208;185;857;30;538;24089
2020-05-13;Palencia;4156;205;51;36;283;12;306;34120
2020-05-13;Valladolid;6888;689;273;124;1060;111;490;47186
2020-05-15;Segovia;2372;520;182;198;850;9;271;40004
2020-05-16;Ávila;3386;354;116;84;522;42;320;5019
2020-05-16;Valladolid;6871;705;275;124;1059;109;486;47186
2020-05-16;Zamora;4315;253;58;63;266;27;158;49275
2020-05-18;Burgos;6382;516;170;107;870;39;430;9059
2020-05-18;León;6954;759;212;187;900;34;361;24089
2020-05-18;Palencia;4155;209;52;36;311;10;274;34120
2020-05-18;Salamanca;6282;767;255;206;1047;41;519;37274
2020-05-18;Valladolid;6858;709;277;124;1051;108;489;47186
2020-05-19;Salamanca;6275;776;255;207;1046;43;479;37274
2020-05-20;Palencia;4152;216;52;36;311;6;241;34120
2020-05-21;Palencia;4155;219;52;36;309;5;155;34120
2020-05-23;Salamanca;6267;784;257;207;1070;37;406;37274
2020-05-26;Valladolid;6805;748;288;125;1076;12;384;47186
2020-05-29;León;6926;837;215;188;1009;7;78;24089
