Fecha;Provincia;test_rapidos_total;test_rapidos_positivos;pcr_total;pcr_positivos;codigo_ine;total_pruebas;total_pruebas_positivas;test_porcentaje;pcr_porcentaje;porcentaje_total;sigla
2020-05-04;Ávila;7190;498;5695;1593;5019;12885;2091;6.9262865090403345;27.971905179982443;16.228172293364377;AV
2020-05-04;Burgos;13430;741;9367;1795;9059;22797;2536;5.517498138495905;19.163019109640224;11.124270737377726;BU
2020-05-04;Segovia;5296;802;9504;2294;40004;14800;3096;15.143504531722055;24.137205387205388;20.91891891891892;SE
2020-05-04;Valladolid;11770;273;31139;4546;47186;42909;4819;2.3194562446898894;14.599055846366294;11.230744132932486;VA
2020-05-05;Ávila;7607;523;5829;1594;5019;13436;2117;6.875246483502037;27.346028478298162;15.756177433760046;AV
2020-05-05;Soria;9421;1061;3185;981;42173;12606;2042;11.262074089799384;30.800627943485086;16.19863557036332;SO
2020-05-05;Zamora;6427;452;4120;555;49275;10547;1007;7.032830247393808;13.470873786407767;9.547738693467336;ZA
2020-05-06;León;17617;1054;15464;2454;24089;33081;3508;5.982857467219163;15.869115364718056;10.604274356881593;LE
2020-05-06;Valladolid;17045;423;32792;4595;47186;49837;5018;2.4816661777647404;14.012564040009758;10.068824367437848;VA
2020-05-06;Zamora;7900;649;4218;563;49275;12118;1212;8.215189873417723;13.347558084400191;10.001650437365903;ZA
2020-05-06;Castilla y León;99577;6770;98747;17865;99999;198324;24635;6.798758749510429;18.091688861433767;12.421592948911881;CyL
2020-05-07;Ávila;8866;598;6064;1602;5019;14930;2200;6.744868035190615;26.41820580474934;14.735432016075018;AV
2020-05-07;Soria;10664;1153;3346;987;42173;14010;2140;10.812078019504877;29.497907949790797;15.274803711634547;SO
2020-05-08;Palencia;8241;316;5229;784;34120;13470;1100;3.8344861060550905;14.99330655957162;8.166295471417966;PA
2020-05-08;Segovia;8145;1021;10394;2301;40004;18539;3322;12.535297728667894;22.137771791418125;17.918981606343383;SE
2020-05-08;Valladolid;22212;580;34762;4671;47186;56974;5251;2.611201152530164;13.437086473735688;9.21648471232492;VA
2020-05-09;Palencia;8344;319;5436;788;34120;13780;1107;3.8231064237775647;14.495952906548935;8.033381712626996;PA
2020-05-09;Salamanca;14778;1224;13150;2793;37274;27928;4017;8.28258221680877;21.23954372623574;14.383414494414207;SA
2020-05-09;Valladolid;22245;581;35315;4707;47186;57560;5288;2.6118228815464146;13.328613903440464;9.186935371785962;VA
2020-05-10;Ávila;10296;680;6476;1617;5019;16772;2297;6.6045066045066045;24.96911673872761;13.695444788933939;AV
